trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
75,0,75,0,10,168.79177509999863,168.79177509999863,0.030269599999883212,[-0.40185185185185185],[-0.47129629629629627],[1],[0],[0],[2.666579200005799],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
76,0,76,0,5,171.47645229999762,171.47645229999762,0.017143700002634432,[0.3277777777777778],[0.07962962962962963],[1],[0],[0],[1.7636875000025611],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
77,0,77,0,10,173.28261019999627,173.28261019999627,0.03346840000449447,[-0.36944444444444446],[0.06111111111111111],[1],[0],[0],[1.926533500001824],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
78,0,78,0,10,175.24773750000168,175.24773750000168,0.036080400001083035,[0.14351851851851852],[-0.125],[1],[0],[0],[1.994053199996415],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
79,0,79,0,10,177.2801260999986,177.2801260999986,0.03277179999713553,[0.4398148148148148],[-0.2657407407407407],[1],[0],[0],[1.661391099994944],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
80,0,80,0,5,178.9625750999985,178.9625750999985,0.020003500001621433,[-0.049074074074074076],[-0.4888888888888889],[1],[0],[0],[1.6606726000027265],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
81,0,81,0,10,180.66343999999663,180.66343999999663,0.03416090000246186,[-0.25277777777777777],[-0.032407407407407406],[1],[0],[0],[1.4448296999980812],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
82,0,82,0,5,182.12971619999735,182.12971619999735,0.018481999999494292,[0.09907407407407408],[-0.17777777777777778],[1],[0],[0],[1.5090483000021777],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
83,0,83,0,5,183.6591122000027,183.6591122000027,0.016649699995468836,[0.13055555555555556],[0.42592592592592593],[1],[0],[0],[1.4470977999953902],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
84,0,84,0,10,185.1451362000007,185.1451362000007,0.03394039999693632,[-0.29444444444444445],[-0.1574074074074074],[1],[0],[0],[1.763046200001554],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
85,0,85,0,5,186.92666369999642,186.92666369999642,0.017125900005339645,[0.48055555555555557],[0.36018518518518516],[1],[0],[0],[2.3955205000020214],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
86,0,86,0,5,189.34119449999707,189.34119449999707,0.01624450000235811,[-0.08333333333333333],[0.25092592592592594],[1],[0],[0],[1.614805700002762],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
87,0,87,0,10,190.99919650000083,190.99919650000083,0.03546530000312487,[0.3111111111111111],[0.22314814814814815],[1],[0],[0],[1.8276975999979186],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
88,0,88,0,10,192.8589609999981,192.8589609999981,0.03095249999751104,[-0.31574074074074077],[0.42777777777777776],[1],[0],[0],[1.649346099999093],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
