trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
150,0,150,0,5,315.74448490000213,315.74448490000213,0.020075000000360887,[-0.45185185185185184],[0.17685185185185184],[1],[0],[0],[1.794106000001193],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
151,0,151,0,5,317.55743359999906,317.55743359999906,0.017215399995620828,[0.041666666666666664],[0.12037037037037036],[1],[0],[0],[1.7645670999991125],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
152,0,152,0,5,319.3408341999966,319.3408341999966,0.01560359999712091,[0.11944444444444445],[0.2712962962962963],[1],[0],[0],[2.5129258999950252],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
153,0,153,0,10,321.88706770000135,321.88706770000135,0.028985900004045106,[0.02962962962962963],[-0.18888888888888888],[1],[0],[0],[2.217066599994723],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
154,0,154,0,5,324.1199837000022,324.1199837000022,0.014504700004181359,[0.26296296296296295],[-0.36203703703703705],[1],[0],[0],[1.9826327999981004],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
155,0,155,0,5,326.1224091999975,326.1224091999975,0.01628119999804767,[0.28888888888888886],[0.2351851851851852],[1],[0],[0],[2.030971700005466],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
156,0,156,0,10,328.1884979999959,328.1884979999959,0.030634199996711686,[0.4425925925925926],[-0.3925925925925926],[1],[0],[0],[2.0502841000052285],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
157,0,157,0,5,330.2595721999969,330.2595721999969,0.016968699994322378,[-0.39351851851851855],[0.18981481481481483],[1],[0],[0],[2.110845799994422],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
158,0,158,0,10,332.405754899999,332.405754899999,0.030714699998497963,[0.43333333333333335],[0.42685185185185187],[1],[0],[0],[2.198869799998647],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
159,0,159,0,5,334.6229805999974,334.6229805999974,0.01688109999668086,[0.34814814814814815],[0.3138888888888889],[1],[0],[0],[2.914446599999792],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
160,0,160,0,5,337.5583297999983,337.5583297999983,0.0167070999959833,[0.21296296296296297],[-0.33425925925925926],[1],[0],[0],[3.2956742999958806],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
161,0,161,0,5,340.87217729999975,340.87217729999975,0.01590549999673385,[-0.3638888888888889],[0.34444444444444444],[1],[0],[0],[2.097380200000771],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
162,0,162,0,10,343.00587749999977,343.00587749999977,0.03204349999577971,[0.3768518518518518],[0.22870370370370371],[1],[0],[0],[1.6490250999995624],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
163,0,163,0,5,344.6730038999958,344.6730038999958,0.01608940000005532,[-0.41203703703703703],[0.287962962962963],[1],[0],[0],[2.5318699999988894],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
164,0,164,0,5,347.2242421999981,347.2242421999981,0.016253199995844625,[-0.4546296296296296],[0.362962962962963],[1],[0],[0],[2.2455820000031963],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
165,0,165,0,10,349.50593500000105,349.50593500000105,0.03147039999748813,[0.4777777777777778],[-0.2101851851851852],[1],[0],[0],[2.398650399998587],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
166,0,166,0,5,351.92393649999576,351.92393649999576,0.017778800000087358,[0.16111111111111112],[0.49444444444444446],[1],[0],[0],[2.595900899999833],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
167,0,167,0,10,354.55625999999756,354.55625999999756,0.030917399999452755,[-0.34814814814814815],[0.19907407407407407],[1],[0],[0],[2.699829099998169],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
168,0,168,0,10,357.2925247000021,357.2925247000021,0.033239999997022096,[-0.1287037037037037],[0.37407407407407406],[1],[0],[0],[2.062936100002844],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
169,0,169,0,10,359.39204299999983,359.39204299999983,0.034384400001727045,[-0.18611111111111112],[0.4740740740740741],[1],[0],[0],[2.795891000001575],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
170,0,170,0,5,362.20711440000014,362.20711440000014,0.01744450000114739,[-0.04259259259259259],[0.026851851851851852],[1],[0],[0],[2.44591699999728],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
171,0,171,0,5,364.67368949999945,364.67368949999945,0.017231900004844647,[0.31851851851851853],[-0.225],[1],[0],[0],[1.9623998000024585],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
172,0,172,0,5,366.6559858999972,366.6559858999972,0.017344100000627805,[-0.2074074074074074],[-0.14537037037037037],[1],[0],[0],[1.6467015000016545],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
173,0,173,0,10,368.3400216000009,368.3400216000009,0.03235710000444669,[-0.000925925925925926],[0.4287037037037037],[1],[0],[0],[2.080752499998198],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
174,0,174,0,10,370.45645330000116,370.45645330000116,0.032312500006810296,[0.4842592592592593],[-0.2611111111111111],[1],[0],[0],[2.1653547000023536],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
175,0,175,0,10,372.656608199999,372.656608199999,0.031942800000251736,[0.11666666666666667],[-0.18888888888888888],[1],[0],[0],[2.2642880999992485],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
176,0,176,0,10,374.9558009999964,374.9558009999964,0.0319863999975496,[0.41759259259259257],[0.4759259259259259],[1],[0],[0],[2.3495869000034872],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
177,0,177,0,10,377.3428550999961,377.3428550999961,0.034149400002206676,[-0.4083333333333333],[0.030555555555555555],[1],[0],[0],[2.2783778000011807],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
178,0,178,0,5,379.63938410000264,379.63938410000264,0.017208099998242687,[-0.05],[-0.42685185185185187],[1],[0],[0],[2.296524600002158],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
179,0,179,0,10,381.97313430000213,381.97313430000213,0.03207750000001397,[-0.1527777777777778],[0.3490740740740741],[1],[0],[0],[2.031739700003527],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
180,0,180,0,5,384.03039379999973,384.03039379999973,0.019965100000263192,[0.02962962962962963],[-0.39166666666666666],[1],[0],[0],[2.6620901999995112],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
181,0,181,0,5,386.7188446,386.7188446,0.019395499999518506,[0.13148148148148148],[-0.15555555555555556],[1],[0],[0],[2.0830547000005026],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
182,0,182,0,10,388.83761409999715,388.83761409999715,0.03119630000583129,[-0.046296296296296294],[-0.3648148148148148],[1],[0],[0],[1.8671873999992386],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
183,0,183,0,10,390.7495293999964,390.7495293999964,0.036837799998465925,[0.4935185185185185],[0.43333333333333335],[1],[0],[0],[2.5419027999960235],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
184,0,184,0,5,393.3075746999966,393.3075746999966,0.01713729999755742,[0.23796296296296296],[0.2916666666666667],[1],[0],[0],[1.6609774999960791],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
185,0,185,0,10,395.005516600002,395.005516600002,0.03266100000473671,[-0.45185185185185184],[-0.021296296296296296],[1],[0],[0],[2.3815709999980754],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
186,0,186,0,10,397.42223419999937,397.42223419999937,0.031901800000923686,[-0.4648148148148148],[0.41203703703703703],[1],[0],[0],[2.1654003000003286],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
187,0,187,0,5,399.6050561000011,399.6050561000011,0.0161281999971834,[-0.18888888888888888],[-0.06944444444444445],[1],[0],[0],[2.1798701000006986],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
188,0,188,0,5,401.80551910000213,401.80551910000213,0.017012999996950384,[0.1574074074074074],[0.013888888888888888],[1],[0],[0],[2.8463102000023355],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
189,0,189,0,5,404.6711253999965,404.6711253999965,0.015889700000116136,[-0.1259259259259259],[0.22685185185185186],[1],[0],[0],[1.9645884999990813],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
190,0,190,0,10,406.67016879999574,406.67016879999574,0.030317700002342463,[0.4305555555555556],[-0.025925925925925925],[1],[0],[0],[1.8331131000013556],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
191,0,191,0,5,408.52193389999593,408.52193389999593,0.016984399997454602,[-0.45092592592592595],[0.4925925925925926],[1],[0],[0],[2.0641516000032425],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
192,0,192,0,10,410.61933970000246,410.61933970000246,0.028380099996866193,[0.05277777777777778],[-0.43148148148148147],[1],[0],[0],[2.473960299997998],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
193,0,193,0,5,413.112343599998,413.112343599998,0.016241100005572662,[-0.44722222222222224],[-0.31666666666666665],[1],[0],[0],[2.00702199999796],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
194,0,194,0,10,415.1540748999978,415.1540748999978,0.029892099999415223,[-0.22870370370370371],[-0.07777777777777778],[1],[0],[0],[1.9331406999990577],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
195,0,195,0,5,417.1036507999961,417.1036507999961,0.014933800004655495,[-0.3074074074074074],[-0.3055555555555556],[1],[0],[0],[2.214890600000217],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
196,0,196,0,10,419.35388039999816,419.35388039999816,0.030851600000460166,[-0.20555555555555555],[0.19907407407407407],[1],[0],[0],[2.49972610000259],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
197,0,197,0,5,421.8712568999981,421.8712568999981,0.01615019999735523,[0.19814814814814816],[-0.28888888888888886],[1],[0],[0],[1.9307751000014832],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
198,0,198,0,5,423.81916539999656,423.81916539999656,0.014298699999926612,[-0.09907407407407408],[-0.15462962962962962],[1],[0],[0],[2.2314171999969403],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
199,0,199,0,10,426.08789109999634,426.08789109999634,0.031935700004396494,[0.02962962962962963],[-0.2824074074074074],[1],[0],[0],[2.8489811000035843],['target'],3333,001,2022-09-29_11h27.01.377,Visual_Search_Exp,2022.2.4,60.045202028010785,
